urllength,isdomainip,tldlength,noofsubdomain,noofdigits,noofspecialcharacters,ishttps,label
29,0,3,1,0,3,1,0
24,0,5,0,0,3,1,0
25,0,6,0,1,2,1,0
31,0,7,1,0,4,1,0
20,0,3,0,2,2,1,0
35,0,11,0,0,3,1,0
22,0,1,0,0,3,1,0
39,0,2,1,0,3,1,0
18,0,1,0,0,3,1,0
31,0,10,0,0,3,1,0
25,0,8,0,1,2,1,0
28,0,8,0,0,3,1,0
38,0,7,0,0,5,1,0
21,0,4,0,0,2,1,0
34,0,4,0,0,2,1,0
40,0,2,1,0,3,1,0
23,0,1,1,0,4,1,0
25,0,3,0,0,4,1,0
29,0,4,0,0,3,1,0
30,0,4,0,0,2,1,0
30,0,2,2,0,4,1,0
39,0,7,0,0,4,1,0
26,0,4,0,0,2,1,0
29,0,9,0,4,2,1,0
40,0,10,0,0,3,1,0
41,0,7,0,0,3,1,0
29,0,5,0,0,3,1,0
22,0,3,0,3,2,1,0
37,0,2,2,0,4,1,0
25,0,8,0,2,2,1,0
22,0,3,1,0,3,1,0
28,0,3,0,0,3,1,0
24,0,3,1,0,4,1,0
29,0,2,2,0,4,1,0
23,0,5,0,3,2,1,0
41,0,11,0,0,3,1,0
31,0,5,0,0,3,1,0
24,0,4,0,0,3,1,0
28,0,3,1,0,3,1,0
22,0,4,0,0,2,1,0
43,0,10,0,0,3,1,0
33,0,2,2,0,4,1,0
32,0,3,1,0,4,1,0
30,0,3,2,3,4,1,0
33,0,9,0,0,3,1,0
36,0,7,0,0,3,1,0
31,0,3,0,0,3,1,0
26,0,7,0,3,2,1,0
26,0,3,0,0,3,1,0
39,0,12,1,0,4,1,0
32,0,8,1,0,4,1,0
31,0,6,0,0,3,1,0
33,0,11,0,0,3,1,0
29,0,10,0,3,2,1,0
28,0,4,0,0,2,1,0
34,0,11,0,0,3,1,0
34,0,6,1,0,4,1,0
42,0,3,0,0,2,1,0
35,0,2,2,0,4,1,0
24,0,2,0,1,2,1,0
37,0,3,1,0,3,1,0
23,0,6,0,0,2,1,0
27,0,1,2,2,4,1,0
42,0,5,1,0,5,1,0
23,0,5,0,2,2,1,0
23,0,4,0,3,2,1,0
48,0,4,0,0,5,1,0
27,0,2,0,0,3,1,0
43,0,3,0,0,2,1,0
24,0,1,0,0,3,1,0
30,0,6,0,0,2,1,0
27,0,4,0,0,3,1,0
21,0,2,0,0,3,1,0
19,0,3,0,1,2,1,0
30,0,7,0,0,3,1,0
22,0,2,0,3,2,1,0
32,0,2,1,1,4,1,0
19,0,1,0,1,2,1,0
29,0,3,0,0,3,1,0
25,0,3,0,1,3,1,0
35,0,10,0,0,3,1,0
27,0,3,1,0,4,1,0
20,0,2,0,1,2,1,0
39,0,3,1,0,3,1,0
28,0,3,0,1,2,1,0
31,0,1,0,0,3,1,0
39,0,9,0,0,3,1,0
41,0,5,0,0,4,1,0
27,0,2,2,0,4,1,0
45,0,3,0,0,2,1,0
34,0,2,0,0,2,1,0
38,0,2,1,0,3,1,0
19,0,1,0,2,2,1,0
43,0,2,1,0,3,1,0
18,0,2,0,1,2,1,0
25,0,3,0,3,2,1,0
27,0,4,0,0,2,1,0
29,0,6,0,0,3,1,0
27,0,8,0,0,3,1,0
27,0,5,1,0,4,1,0
20,0,3,0,1,2,1,0
28,0,10,0,2,2,1,0
18,0,3,0,0,2,1,0
29,0,10,0,0,3,1,0
31,0,1,2,2,4,1,0
22,0,1,0,2,2,1,0
33,0,3,2,0,4,1,0
22,0,4,0,2,2,1,0
36,0,3,2,0,4,1,0
21,0,2,0,1,2,1,0
30,0,1,2,2,4,1,0
32,0,11,0,0,3,1,0
28,0,11,0,1,2,1,0
30,0,3,0,0,4,1,0
32,0,3,1,0,3,1,0
25,0,7,0,2,2,1,0
33,0,5,1,0,4,1,0
23,0,3,0,4,2,1,0
39,0,8,0,0,4,1,0
25,0,4,0,0,2,1,0
37,0,9,0,0,3,1,0
30,0,3,0,3,2,1,0
34,0,8,0,0,4,1,0
22,0,3,0,1,2,1,0
32,0,14,0,2,2,1,0
35,0,3,0,0,4,1,0
31,0,7,0,0,4,1,0
34,0,7,0,3,2,1,0
33,0,4,0,0,3,1,0
29,0,8,0,0,3,1,0
41,0,2,2,0,4,1,0
26,0,9,0,2,2,1,0
33,0,12,0,0,3,1,0
22,0,7,0,0,2,1,0
27,0,4,0,0,4,1,0
28,0,6,1,3,3,1,0
34,0,10,0,0,3,1,0
34,0,8,0,0,3,1,0
28,0,3,2,3,4,1,0
43,0,17,0,0,3,1,0
21,0,4,0,2,2,1,0
24,0,2,1,1,3,1,0
27,0,6,0,0,3,1,0
31,0,3,1,0,5,1,0
29,0,3,0,3,2,1,0
26,0,2,0,0,3,1,0
33,0,5,2,1,4,1,0
24,0,4,0,4,2,1,0
35,0,6,0,0,3,1,0
28,0,2,0,0,3,1,0
32,0,5,0,0,3,1,0
36,0,6,1,0,4,1,0
33,0,14,1,1,3,1,0
25,0,7,0,0,3,1,0
36,0,12,0,0,3,1,0
20,0,2,1,0,3,1,0
42,0,2,2,0,4,1,0
36,0,9,0,0,3,1,0
39,0,4,0,0,4,1,0
50,0,11,1,0,6,1,0
22,0,3,1,3,3,1,0
29,0,7,0,0,3,1,0
34,0,3,0,0,3,1,0
29,0,4,0,0,2,1,0
21,0,2,1,1,3,1,0
24,0,3,1,3,3,1,0
31,0,3,0,3,2,1,0
38,0,2,2,0,4,1,0
28,0,2,0,0,4,1,0
21,0,5,0,0,2,1,0
46,0,2,1,0,3,1,0
26,0,3,0,2,3,1,0
22,0,3,0,2,2,1,0
20,0,1,1,1,3,1,0
37,0,2,0,0,2,1,0
24,0,6,0,0,3,1,0
27,0,6,0,0,2,1,0
26,0,1,0,0,3,1,0
27,0,7,0,0,3,1,0
23,0,3,0,2,2,1,0
27,0,8,1,1,3,1,0
46,0,3,0,0,2,1,0
34,0,3,1,0,5,1,0
32,0,4,0,0,3,1,0
19,0,1,0,3,2,1,0
27,0,7,0,4,2,1,0
30,0,3,0,1,2,1,0
30,0,10,1,0,4,1,0
27,0,5,1,3,3,1,0
39,0,14,0,0,3,1,0
30,0,1,0,3,3,1,0
29,0,6,1,0,4,1,0
33,0,5,0,0,4,1,0
20,0,4,0,0,2,1,0
33,0,14,0,0,3,1,0
32,0,2,2,0,4,1,0
31,0,3,0,2,2,1,0
37,0,4,0,0,5,1,0
23,0,5,0,1,2,1,0
33,0,7,0,1,2,1,0
30,0,4,0,0,3,1,0
21,0,4,0,1,2,1,0
34,0,7,0,0,3,1,0
47,0,2,1,0,3,1,0
30,0,11,0,3,2,1,0
38,0,5,0,2,4,1,0
35,0,9,0,0,3,1,0
33,0,6,0,0,3,1,0
33,0,7,0,0,3,1,0
24,0,5,0,3,2,1,0
23,0,4,1,1,3,1,0
29,0,2,0,0,3,1,0
37,0,7,0,0,4,1,0
18,0,3,0,2,2,1,0
34,0,9,0,0,3,1,0
31,0,11,0,4,2,1,0
29,0,9,1,3,3,1,0
36,0,6,0,1,2,1,0
31,0,1,1,0,4,1,0
20,0,1,0,1,2,1,0
37,0,8,1,0,4,1,0
24,0,4,0,1,2,1,0
29,0,5,1,0,4,1,0
26,0,3,0,3,2,1,0
41,0,2,1,0,3,1,0
33,0,3,0,0,4,1,0
23,0,6,0,2,2,1,0
26,0,6,0,0,2,1,0
24,0,1,0,1,2,1,0
21,0,1,0,1,2,1,0
40,0,18,0,0,3,1,0
43,0,7,0,0,4,1,0
37,0,14,0,0,3,1,0
44,0,9,0,0,4,1,0
49,0,2,1,0,3,1,0
41,0,11,0,0,4,1,0
22,0,1,0,0,4,1,0
28,0,5,0,0,2,1,0
26,0,3,0,1,2,1,0
31,0,7,0,0,3,1,0
30,0,3,0,1,4,1,0
33,0,5,0,0,3,1,0
38,0,7,0,0,4,1,0
31,0,2,0,0,3,1,0
32,0,4,0,0,4,1,0
49,0,3,0,0,7,1,0
37,0,11,0,0,4,1,0
30,0,1,0,1,2,1,0
35,0,3,1,0,3,1,0
18,0,2,0,2,2,1,0
30,0,13,0,1,2,1,0
21,0,3,1,0,3,1,0
26,0,7,0,0,3,1,0
25,0,2,0,1,2,1,0
27,0,2,1,0,4,1,0
31,0,6,1,0,4,1,0
48,0,3,0,0,2,1,0
30,0,9,0,0,3,1,0
29,0,3,2,0,4,1,0
27,0,7,1,1,3,1,0
38,0,10,1,0,4,1,0
26,0,2,0,1,2,1,0
29,0,4,0,4,3,1,0
29,0,11,0,2,2,1,0
44,0,2,1,0,3,1,0
25,0,5,0,4,2,1,0
26,0,6,1,0,4,1,0
28,0,6,1,0,4,1,0
31,0,3,2,0,4,1,0
25,0,4,0,1,2,1,0
41,0,3,1,0,3,1,0
28,0,7,0,0,3,1,0
26,0,8,0,2,2,1,0
36,0,13,0,0,3,1,0
22,0,1,1,2,3,1,0
30,0,10,0,0,3,1,0
32,0,10,0,0,3,1,0
21,0,2,0,3,2,1,0
36,0,3,0,2,3,1,0
29,0,6,0,0,2,1,0
21,0,1,0,4,2,1,0
22,0,4,0,1,2,1,0
23,0,4,0,1,2,1,0
31,0,4,0,0,2,1,0
26,0,1,0,1,2,1,0
20,0,2,0,2,2,1,0
36,0,5,0,2,4,1,0
32,0,3,0,0,3,1,0
33,0,3,1,1,3,1,0
35,0,6,1,0,4,1,0
31,0,9,1,3,3,1,0
28,0,3,2,0,4,1,0
26,0,5,1,2,3,1,0
34,0,7,0,1,2,1,0
28,0,3,0,2,2,1,0
33,0,7,1,0,4,1,0
18,0,1,0,1,2,1,0
25,0,1,0,0,3,1,0
30,0,8,1,0,4,1,0
30,0,8,0,4,2,1,0
40,0,2,2,0,4,1,0
32,0,7,0,0,3,1,0
42,0,2,1,0,3,1,0
27,0,3,0,3,2,1,0
46,0,14,0,0,3,1,0
30,0,5,0,0,2,1,0
35,0,4,0,0,3,1,0
28,0,11,0,2,2,1,0
32,0,5,0,0,4,1,0
37,0,11,0,0,3,1,0
22,0,4,0,3,2,1,0
35,0,8,0,1,2,1,0
33,0,3,0,1,2,1,0
43,0,2,0,0,2,1,0
33,0,13,0,0,3,1,0
29,0,7,0,0,2,1,0
34,0,3,1,0,3,1,0
33,0,6,1,0,4,1,0
24,0,2,2,0,4,1,0
38,0,2,3,0,5,1,0
29,0,11,0,1,2,1,0
28,0,5,1,0,4,1,0
29,0,1,1,3,3,1,0
20,0,4,0,1,2,1,0
21,0,1,1,1,3,1,0
25,0,5,0,1,2,1,0
24,0,5,0,1,2,1,0
27,0,7,0,0,4,1,0
31,0,4,1,0,4,1,0
28,0,3,1,0,4,1,0
38,0,10,0,0,3,1,0
29,0,7,1,0,4,1,0
40,0,2,0,0,2,1,0
56,0,3,0,0,8,1,0
38,0,3,1,0,5,1,0
34,0,3,0,2,2,1,0
31,0,2,3,0,5,1,0
38,0,8,0,0,3,1,0
33,0,13,0,4,2,1,0
45,0,18,0,0,3,1,0
42,0,12,0,0,3,1,0
26,0,1,2,2,4,1,0
33,0,1,0,0,3,1,0
26,0,4,0,0,4,1,0
21,0,5,0,1,2,1,0
32,0,3,0,1,2,1,0
30,0,7,0,0,4,1,0
32,0,6,1,0,4,1,0
32,0,2,0,0,3,1,0
40,0,20,0,3,3,1,0
27,0,8,0,3,2,1,0
46,0,9,0,0,4,1,0
27,0,3,0,4,2,1,0
34,0,4,0,0,3,1,0
33,0,3,0,0,3,1,0
40,0,4,0,0,5,1,0
25,0,7,0,0,2,1,0
34,0,15,0,3,2,1,0
30,0,5,1,0,4,1,0
30,0,11,0,0,3,1,0
27,0,8,0,3,3,1,0
27,0,1,1,1,4,1,0
26,0,3,1,1,3,1,0
36,0,12,1,0,4,1,0
32,0,7,0,1,2,1,0
32,0,12,0,0,3,1,0
35,0,4,0,0,2,1,0
33,0,8,0,0,2,1,0
34,0,6,0,0,3,1,0
20,0,2,0,0,3,1,0
29,0,2,1,0,4,1,0
39,0,1,2,0,5,1,0
36,0,6,0,0,3,1,0
19,0,2,0,1,2,1,0
29,0,6,0,1,2,1,0
28,0,8,0,3,3,1,0
24,0,3,0,1,2,1,0
30,0,3,0,0,3,1,0
37,0,10,0,0,3,1,0
35,0,15,0,0,3,1,0
34,0,8,1,0,4,1,0
32,0,5,2,0,5,1,0
26,0,2,1,0,4,1,0
31,0,4,0,0,4,1,0
23,0,5,0,0,2,1,0
31,0,14,0,1,2,1,0
41,0,6,0,0,4,1,0
33,0,7,1,2,3,1,0
24,0,6,0,2,2,1,0
39,0,14,0,1,2,1,0
26,0,6,0,3,3,1,0
31,0,2,1,0,4,1,0
45,0,6,0,0,5,1,0
38,0,3,1,0,4,1,0
17,0,2,0,1,2,1,0
28,0,10,0,0,3,1,0
28,0,2,1,2,3,1,0
28,0,8,0,4,2,1,0
34,0,2,0,0,4,1,0
38,0,15,0,0,3,1,0
35,0,5,0,0,4,1,0
36,0,2,2,0,4,1,0
37,0,3,1,0,4,1,0
37,0,6,1,0,4,1,0
32,0,4,1,0,4,1,0
35,0,6,0,0,4,1,0
25,0,7,0,1,2,1,0
35,0,10,1,0,4,1,0
29,0,3,0,0,4,1,0
34,0,13,1,0,4,1,0
30,0,6,1,0,4,1,0
34,0,7,1,1,3,1,0
41,0,8,0,0,4,1,0
30,0,2,1,2,3,1,0
42,0,20,1,0,4,1,0
30,0,8,0,1,2,1,0
18,0,3,0,1,2,1,0
37,0,7,1,0,4,1,0
37,0,11,1,0,5,1,0
27,0,10,0,1,2,1,0
33,0,10,1,0,4,1,0
39,0,12,0,0,3,1,0
21,0,1,0,2,2,1,0
31,0,7,0,3,2,1,0
33,0,2,0,0,3,1,0
23,0,2,0,2,2,1,0
31,0,3,0,0,4,1,0
17,0,1,0,1,2,1,0
45,0,2,1,0,3,1,0
25,0,5,0,2,3,1,0
29,0,4,1,0,4,1,0
25,0,3,1,3,3,1,0
22,0,6,0,0,2,1,0
27,0,5,0,3,2,1,0
34,0,4,1,0,3,1,0
33,0,3,2,0,5,1,0
45,0,10,1,0,5,1,0
39,0,10,0,0,3,1,0
28,0,10,0,0,2,1,0
40,0,12,0,0,3,1,0
22,0,2,0,2,3,1,0
24,0,5,1,1,3,1,0
24,0,5,0,4,2,1,0
24,0,5,1,0,4,1,0
29,0,2,3,0,5,1,0
36,0,4,0,0,2,1,0
19,0,2,0,4,2,1,0
34,0,7,0,0,4,1,0
23,0,6,0,1,3,1,0
28,0,3,0,3,3,1,0
27,0,5,0,4,2,1,0
44,0,2,0,0,2,1,0
23,0,2,0,1,2,1,0
28,0,5,0,2,4,1,0
23,0,1,0,0,3,1,0
44,0,5,0,0,5,1,0
45,0,21,0,0,3,1,0
32,0,7,1,0,4,1,0
38,0,12,0,4,3,1,0
25,0,4,0,1,3,1,0
25,0,3,0,2,2,1,0
43,0,3,1,0,3,1,0
32,0,11,0,1,2,1,0
42,0,15,1,0,4,1,0
24,0,6,0,1,2,1,0
28,0,1,0,1,2,1,0
29,0,1,0,2,2,1,0
31,0,8,1,0,4,1,0
21,0,3,0,0,3,1,0
32,0,11,1,3,3,1,0
27,0,9,0,0,3,1,0
26,0,7,0,1,3,1,0
19,0,1,0,0,3,1,0
34,0,3,0,1,2,1,0
34,0,8,0,2,4,1,0
26,0,6,0,4,2,1,0
38,0,6,1,0,4,1,0
26,0,8,0,0,3,1,0
22,0,5,0,0,2,1,0
29,0,3,2,3,4,1,0
19,0,2,0,2,2,1,0
35,0,7,1,0,4,1,0
20,0,2,1,1,3,1,0
22,0,5,0,1,2,1,0
43,0,2,2,0,4,1,0
46,0,3,1,0,3,1,0
23,0,3,0,3,2,1,0
27,0,4,0,2,2,1,0
24,0,3,0,2,2,1,0
18,0,1,0,2,2,1,0
29,0,3,0,2,2,1,0
34,0,2,1,1,3,1,0
28,0,8,1,0,4,1,0
23,0,2,1,3,4,1,0
18,0,1,0,1,3,1,0
28,0,6,0,0,2,1,0
28,0,3,0,0,4,1,0
34,0,5,2,0,5,1,0
40,0,13,0,0,3,1,0
24,0,2,0,3,2,1,0
35,0,7,0,0,3,1,0
27,0,4,1,0,4,1,0
27,0,1,0,2,2,1,0
27,0,5,0,1,2,1,0
27,0,4,0,1,2,1,0
40,0,7,0,0,4,1,0
28,0,5,0,1,2,1,0
30,0,6,0,0,4,1,0
29,0,1,1,1,3,1,0
31,0,5,1,0,4,1,0
29,0,4,1,4,3,1,0
28,0,9,0,4,2,1,0
28,0,1,2,2,4,1,0
33,0,10,0,1,2,1,0
22,0,1,0,1,2,1,0
29,0,12,0,1,2,1,0
22,0,1,1,1,3,1,0
22,0,5,0,0,3,1,0
27,0,7,0,2,2,1,0
31,0,6,0,0,4,1,0
46,0,15,0,0,3,1,0
28,0,6,0,1,2,1,0
32,0,8,2,0,5,1,0
33,0,4,1,0,4,1,0
22,0,2,0,0,3,1,0
27,0,5,0,0,2,1,0
24,0,3,0,6,2,1,0
31,0,5,0,2,2,1,0
34,0,7,1,0,4,1,0
37,0,8,0,0,3,1,0
31,0,12,0,0,3,1,0
21,0,2,1,3,3,1,0
36,0,9,1,0,4,1,0
37,0,17,0,4,2,1,0
38,0,3,1,0,3,1,0
34,0,13,0,0,3,1,0
30,0,10,0,4,2,1,0
35,0,3,0,1,2,1,0
26,0,3,0,2,2,1,0
35,0,5,2,0,5,1,0
38,0,3,2,0,4,1,0
30,0,10,0,1,2,1,0
42,0,6,0,0,5,1,0
42,0,6,0,0,4,1,0
33,0,11,1,0,4,1,0
22,0,2,0,1,2,1,0
37,0,3,0,4,2,1,0
27,0,1,2,0,5,1,0
37,0,12,0,0,4,1,0
41,0,4,0,0,5,1,0
40,0,15,0,0,3,1,0
22,0,1,0,0,5,1,0
33,0,4,0,0,2,1,0
26,0,7,0,0,2,1,0
24,0,3,0,3,2,1,0
45,0,13,0,0,4,1,0
35,0,2,3,0,5,1,0
26,0,8,0,0,2,1,0
28,0,4,0,0,4,1,0
26,0,5,1,0,4,1,0
27,0,8,0,4,2,1,0
30,0,3,1,1,3,1,0
35,0,4,1,0,4,1,0
34,0,4,0,0,4,1,0
22,0,2,1,1,3,1,0
25,0,6,0,0,2,1,0
32,0,5,0,4,2,1,0
40,0,9,0,0,4,1,0
22,0,1,0,3,2,1,0
33,0,6,0,0,4,1,0
32,0,13,0,0,3,1,0
30,0,6,1,0,3,1,0
33,0,15,0,2,2,1,0
31,0,5,0,1,2,1,0
29,0,3,1,0,4,1,0
25,0,4,0,3,2,1,0
39,0,11,1,0,5,1,0
32,0,1,0,1,2,1,0
19,0,4,0,0,2,1,0
25,0,2,1,3,3,1,0
28,0,9,0,3,2,1,0
37,0,12,0,0,3,1,0
31,0,3,1,2,3,1,0
31,0,8,1,3,3,1,0
39,0,4,0,0,5,1,0
33,0,4,1,1,3,1,0
30,0,3,2,0,4,1,0
33,0,16,0,1,2,1,0
26,0,1,0,0,4,1,0
33,0,4,0,0,4,1,0
25,0,9,0,1,2,1,0
30,0,4,0,0,4,1,0
21,0,1,0,0,4,1,0
23,0,5,0,0,3,1,0
20,0,3,0,3,2,1,0
34,0,4,1,0,4,1,0
37,0,5,0,0,4,1,0
28,0,8,0,2,3,1,0
39,0,8,0,0,2,1,0
40,0,3,1,0,3,1,0
38,0,12,0,0,3,1,0
26,0,4,0,1,2,1,0
37,0,9,0,3,3,1,0
36,0,3,0,0,3,1,0
38,0,6,0,0,5,1,0
35,0,9,0,0,2,1,0
27,0,3,0,2,2,1,0
43,0,5,0,0,5,1,0
34,0,2,1,2,3,1,0
26,0,3,2,0,4,1,0
49,0,3,0,0,2,1,0
42,0,2,0,1,3,1,0
38,0,9,1,0,4,1,0
24,0,1,0,2,2,1,0
24,0,3,0,4,2,1,0
27,0,6,1,0,4,1,0
20,0,1,0,2,2,1,0
25,0,8,0,0,3,1,0
26,0,7,1,1,3,1,0
19,0,2,0,1,3,1,0
39,0,3,2,0,4,1,0
35,0,8,1,0,4,1,0
27,0,9,0,1,2,1,0
34,0,15,0,1,2,1,0
32,0,9,1,1,3,1,0
39,0,2,2,0,4,1,0
30,0,11,0,4,2,1,0
25,0,2,1,1,3,1,0
42,0,4,1,0,5,1,0
31,0,9,1,0,4,1,0
33,0,6,0,0,2,1,0
27,0,1,0,1,2,1,0
22,0,2,0,4,2,1,0
38,0,8,0,0,4,1,0
30,0,5,0,1,2,1,0
27,0,3,2,0,4,1,0
35,0,3,1,0,4,1,0
38,0,5,2,0,5,1,0
34,0,14,0,0,3,1,0
35,0,2,1,1,3,1,0
29,0,5,1,1,3,1,0
34,0,12,1,3,3,1,0
39,0,10,0,0,4,1,0
22,0,6,0,1,2,1,0
33,0,6,2,0,5,1,0
31,0,5,0,0,2,1,0
33,0,11,0,1,2,1,0
40,0,6,1,0,4,1,0
52,0,3,0,0,2,1,0
38,0,4,0,0,5,1,0
38,0,6,0,0,3,1,0
56,0,3,0,0,2,1,0
26,0,4,1,0,4,1,0
36,0,3,0,0,5,1,0
35,0,14,0,0,3,1,0
22,0,2,0,2,2,1,0
37,0,13,0,0,3,1,0
28,0,6,0,0,4,1,0
25,0,3,1,0,4,1,0
36,0,16,0,4,2,1,0
25,0,1,1,0,4,1,0
20,0,3,0,4,2,1,0
30,0,3,1,0,4,1,0
42,0,9,0,0,3,1,0
51,0,2,0,0,2,1,0
24,0,2,0,2,2,1,0
30,0,4,0,2,2,1,0
42,0,14,1,0,4,1,0
26,0,3,0,0,4,1,0
23,0,6,0,1,2,1,0
34,0,6,0,0,4,1,0
36,0,4,0,0,4,1,0
36,0,7,1,0,4,1,0
37,0,12,1,0,4,1,0
28,0,3,2,0,5,1,0
29,0,10,0,2,2,1,0
33,0,1,2,2,4,1,0
23,0,1,0,2,3,1,0
32,0,3,0,3,2,1,0
28,0,2,0,3,2,1,0
26,0,7,0,1,2,1,0
25,0,5,1,1,3,1,0
26,0,5,1,3,3,1,0
40,0,2,2,2,4,1,0
36,0,4,0,0,5,1,0
32,0,5,0,1,2,1,0
22,0,1,0,1,3,1,0
28,0,9,0,0,3,1,0
22,0,3,0,4,2,1,0
42,0,2,0,0,2,1,0
34,0,5,0,0,4,1,0
35,0,14,0,1,2,1,0
45,0,20,0,0,3,1,0
29,0,5,1,0,3,1,0
32,0,13,0,3,2,1,0
35,0,9,0,0,4,1,0
37,0,11,1,0,4,1,0
36,0,8,0,0,2,1,0
37,0,7,0,0,3,1,0
